name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"The Children's Place","The Children'S Place Boys Basic Long Sleeve Tee",37.17,"Leather, Denim","https://m.media-amazon.com/images/I/61ZZG9H7UpL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"The Children's Place","The Children's Place Boys' Short Sleeve Poplin Button Down Shirt",6.24,"Silk, Polyester","https://m.media-amazon.com/images/I/71CnBO0kJfL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Disney","Disney Mickey Mouse and Friends Short Sleeve T-Shirt",22.99,"Synthetic, Wool","https://m.media-amazon.com/images/I/714fisqVBDL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Under Armour","Under Armour Boys' Tech Hybrid Print Short Sleeve T Shirt",13.68,"Linen, Wool","https://m.media-amazon.com/images/I/51mQT+Uk3kL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"The Children's Place","The Children's Place Boys' Assorted Everyday Long Sleeve Graphic T-Shirts,multipacks",12.77,"Wool, Leather","https://m.media-amazon.com/images/I/71lB54g+YfL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Monster Jam","Monster Jam 3 Pack T-Shirts Toddler to Big Kid Grave Digger El Toro Loco Megalodon",34.99,"Linen, Leather","https://m.media-amazon.com/images/I/717uaqXaGOL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"The Children's Place","The Children's Place boys Uniform Pique Polo Shirt, Renew Blue, 10 12 US",4.41,"Polyester, Denim","https://m.media-amazon.com/images/I/81mSbulgB9L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Under Armour","Under Armour Boys' Tech Split Wordmark Short Sleeve T Shirt",14.97,"Synthetic, Leather","https://m.media-amazon.com/images/I/41GvlRMg6+L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Disney","Disney Minnie Mouse Icon Spring Flowers T-Shirt",22.99,"Linen, Wool","https://m.media-amazon.com/images/I/71I5z1ruuYL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Fruit of the Loom","Fruit of the Loom Boys' Cotton White T Shirt",13.29,"Polyester, Synthetic","https://m.media-amazon.com/images/I/61xuPugdaRL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"The Children's Place","The Children's Place Baby Boys' Sports Short Sleeve Graphic T-Shirts,multipacks",24.53,"Denim, Wool","https://m.media-amazon.com/images/I/71sXKCOLjcL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Calvin Klein","Calvin Klein Boys' Long Sleeve Slim Fit Dress Shirt, Button-Down Style with Cuffs & Shirttail Hem",20.22,"Wool, Silk","https://m.media-amazon.com/images/I/51KoFhppx6L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"The Children's Place","The Children's Place Boys' Long Sleeve Knit Shirts 4-Pack",22.44,"Wool, Linen","https://m.media-amazon.com/images/I/71xnd2X-i8L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"The Children's Place","The Children's Place Boys' Long Sleeve Thermal Henley Shirt",10.49,"Polyester, Denim","https://m.media-amazon.com/images/I/916CJwubYzL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Gildan","Gildan Youth Heavy Cotton T-Shirt, Style G5000B, 2-Pack",9.83,"Denim, Wool","https://m.media-amazon.com/images/I/61ajKaB3uqL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Disney","Disney Lilo & Stitch St. Patrick's Day Stitch Shenanigans T-Shirt",19.54,"Denim, Wool","https://m.media-amazon.com/images/I/71HBjTaaG7L._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Monster Jam","Monster Jam Matching Family T-Shirt Toddler to Adult Grave Digger El Toro Loco Megalodon",22.99,"Synthetic, Cotton","https://m.media-amazon.com/images/I/81KpRwPYuQL._AC_UL320_.jpg","Clothing","Men","Shirts","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
