name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"FLORNO","FLORNO Baby Bodysuits 5-Pack ï¿½C 100% Pure Cotton Short Sleeve Onesies for Newborns and Infants, Unisex Baby Clothes",23.99,"Cotton, Denim","https://m.media-amazon.com/images/I/61gAhI5IL1L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"LvYinLi","LvYinLi Cute Baby Boy Clothes Suit Toddler Boys' Striped long Sleeve T-Shirt+Denim Overalls Jumpsuit Pants Outfits Sets",27.9,"Silk, Linen","https://m.media-amazon.com/images/I/61VLIsKtSoL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby 4-Pack Fleece Pants",17.17,"Polyester, Cotton","https://m.media-amazon.com/images/I/918gnzeDhYL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Simple Joys by Carter's","Simple Joys by Carter's baby-boys 4-piece Jacket, Pant, and Bodysuit Set",21,"Synthetic, Denim","https://m.media-amazon.com/images/I/915fikz2NTL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Onesies Brand","Onesies Brand Unisex Baby 3 Outfit Bundle Mix Match Newborn to 12m Pants Set",16.99,"Denim, Linen","https://m.media-amazon.com/images/I/91t0gL6Nf-L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"N FAOMIN","N FAOMIN Thin Blue Line Bodysuit, Police American Flag Infant Newborn Cotton Romper Short Sleeve Jumpsuit Outfits 0-24 Months",12.99,"Cotton, Synthetic","https://m.media-amazon.com/images/I/519-IJliGtL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"MORI","MORI Baby Unisex Clever Pajamas Sleepsuit 4-pack with Two Way Zip - Comfort Footed Nightwear for Boys and Girls - Newborn",145,"Silk, Synthetic","https://m.media-amazon.com/images/I/61CYFQ5V1oL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Renotemy","Renotemy Newborn Infant Baby Boy Clothes Outfits New to The Crew Outfits Long Pants Toddler Baby Boy Clothes Set",19.99,"Synthetic, Polyester","https://m.media-amazon.com/images/I/71jG-NZ02oL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Pink"", ""Black""]",100
"fhutpw","fhutpw Baby Boy Clothes 3 6 12 18 Months Ribbed Knitted Long Sleeve Romper and Pants Sets Newborn Fall Splicing Color Outfits",14.99,"Silk, Cotton","https://m.media-amazon.com/images/I/61hSyETE-WL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Gerber","Gerber Baby Boys' 6-Pack Long-Sleeve Onesies Bodysuit",17.88,"Polyester, Silk","https://m.media-amazon.com/images/I/91vRlXGFRyL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby Boys' 2-Pack Cotton Sleep and Play",17,"Denim, Wool","https://m.media-amazon.com/images/I/81V-mOhNUSL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Toddlers and Baby Boys' Loose-Fit Flame Resistant Fleece Footed Pajamas, Pack of 3",26.6,"Synthetic, Polyester","https://m.media-amazon.com/images/I/91sRqDI-lXL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Toddlers and Baby Boys' Snug-Fit Footed Cotton Pajamas, Pack of 3",27,"Synthetic, Wool","https://m.media-amazon.com/images/I/91AbXaH1SyL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby Hooded Sweater Jacket with Sherpa Lining",18,"Linen, Wool","https://m.media-amazon.com/images/I/910pajFCcPL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby 3-Pack Neutral Cotton Sleeper Gown",16.5,"Silk, Polyester","https://m.media-amazon.com/images/I/9112CJnkCNL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Gerber","Gerber unisex-baby Multi-pack Long-sleeve Onesies Bodysuit Mitten Cuff Sizes",15.81,"Denim, Cotton","https://m.media-amazon.com/images/I/71ucHOVS8qL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Gerber","Gerber Baby Boys' Toddler 3-Pack Jogger Pants",21.99,"Denim, Wool","https://m.media-amazon.com/images/I/81COGloY3zL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby Boys' Cotton Sleeper Gown, Pack of 3",15.7,"Silk, Linen","https://m.media-amazon.com/images/I/81pZ62cNXRL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"BemeyourBBs","BemeyourBBs Toddler Baby Boy Summer Clothes Funny Letter T Shirt Elastic Waist Pockets Shorts Set 2 Piece Outfit",14.99,"Cotton, Synthetic","https://m.media-amazon.com/images/I/611qQnPoNWL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Pink"", ""Black""]",100
"Bibimom","Baby Romper with Baby Mittens & Newborn Hats Footless Long Sleeve Solid Onesie Hi Im New Here",9.99,"Denim, Silk","https://m.media-amazon.com/images/I/81YQLxPqbEL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"HonestBaby","HonestBaby Multipack Short Sleeve T-Shirt Tee 100% Organic Cotton Infant Baby, Toddler, Little Kids Boys, Girls, Unisex",49.99,"Wool, Cotton","https://m.media-amazon.com/images/I/81ZsraEJyML._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]",100
"Kiddiezoom","Baby Layette Set Baby Boys' 9-Piece Bodysuits Pants Set Toddler Girl Boy Unisex Baby Gift Sets",39.99,"Polyester, Silk","https://m.media-amazon.com/images/I/61cIcpR-yHL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Onesies Brand","Onesies Brand Baby Boys' 4-Pack Sleep 'N Play Footies",23.99,"Synthetic, Cotton","https://m.media-amazon.com/images/I/91g0ECwsg6L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"MAMIMAKA","MAMIMAKA Newborn Baby Short Sleeve Bodysuit Cotton One-Piece Baby Clothes 5-Pack, 0-12 Months",22.45,"Synthetic, Polyester","https://m.media-amazon.com/images/I/81T9T4eUoSL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Unisex Babies' Long-Sleeve Bodysuit",18,"Wool, Leather","https://m.media-amazon.com/images/I/A1HyrjxTj6L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby Boys' 2-Pack Fleece Footed Sleep and Play",17.59,"Synthetic, Leather","https://m.media-amazon.com/images/I/81gnf+UT6hL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"Onesies Brand","Onesies Brand baby-boys 8-pack Short Sleeve Mix & Match Bodysuits",21.99,"Denim, Synthetic","https://m.media-amazon.com/images/I/71kSbwuRoRL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Onesies Brand","Onesies Brand unisex-baby 8-pack Short Sleeve Mix & Match Bodysuits",21.99,"Linen, Wool","https://m.media-amazon.com/images/I/91gx0VQYl+L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Unisex Babies' Fleece Pants, Pack of 4",17.5,"Denim, Cotton","https://m.media-amazon.com/images/I/815CS0H7EVL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Simple Joys by Carter's","Simple Joys by Carter's unisex-baby 5-pack Side Snap Short-sleeve Bodysuit",19.8,"Synthetic, Leather","https://m.media-amazon.com/images/I/91C8Z9G9j9L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Pink"", ""Black""]",100
"Carhartt","Carhartt Baby Boys' Canvas Bib Overalls",32.99,"Silk, Linen","https://m.media-amazon.com/images/I/51Y-yzFtpfL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Burt's Bees Baby","Burt's Bees Baby Baby Boys Pajamas, 2-Piece Long Sleeve Tee and Long Pant Cotton PJ Set, Sizes for 12 Months to 12 Years",12.21,"Linen, Silk","https://m.media-amazon.com/images/I/71L-P84lIXL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]",100
"Burt's Bees Baby","Burt's Bees Baby Boys' Sleep & Play PJs, 100% Organic Cotton One-Piece Zip Front Jumpsuit, Baby Boys Footie Pajamas & PJs",14.95,"Cotton, Silk","https://m.media-amazon.com/images/I/815GH9sLT9L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Cuddle Club","Fleece Baby Bunting Bodysuit ï¿½C Infant One Piece Kids Hooded Romper Outerwear Toddler Jacket",29.99,"Linen, Synthetic","https://m.media-amazon.com/images/I/61WuvJJJD7L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"Simple Joys by Carter's","Simple Joys by Carter's baby-boys 3-piece Playwear Set",19,"Wool, Synthetic","https://m.media-amazon.com/images/I/91j2HViS9FL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"Kupretty","Kupretty Toddler Baby Boy Fall Winter Clothes Color Block Long Sleeve Sweatshirt Pullover Tops + Joggers Pants Outfit Set",17.99,"Leather, Synthetic","https://m.media-amazon.com/images/I/61A9sVfTv0L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
"Gerber","Gerber Baby Boys' 4-Pack Footed Pajamas",29.98,"Linen, Polyester","https://m.media-amazon.com/images/I/91o2zeErffL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""White"", ""Black"", ""Blue""]",100
"NZRVAWS","NZRVAWS Newborn Baby Boy Clothes Outfits Letter Prined Romper Pants Set Infant Baby Boy Clothing 0 3 6 9 12 18 Months",19.97,"Silk, Wool","https://m.media-amazon.com/images/I/71NUjt6Fy1L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Red"", ""Gray""]",100
"Carhartt","Carhartt Unisex Baby Long-Sleeve Pocket Bodysuit",11.99,"Cotton, Leather","https://m.media-amazon.com/images/I/61SB36Ead4L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Gerber","Gerber baby-boys 5-pack Short Sleeve Variety Onesies Bodysuits",13.75,"Silk, Cotton","https://m.media-amazon.com/images/I/81KNcvjLsRL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Taupe"", ""Black"", ""Green""]",100
"Simple Joys by Carter's","Simple Joys by Carter's Baby 4-Pack Long-Sleeve Thermal Bodysuit",15,"Wool, Denim","https://m.media-amazon.com/images/I/A1mO12iBNgL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Pink"", ""Black""]",100
"Gerber","Gerber Baby Boy and Girls 4-Pack Sleeper Gown",20.99,"Wool, Linen","https://m.media-amazon.com/images/I/81MtaW6cW8L._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"little planet by carter's","little planet by carter's Unisex Baby 2-piece Organic Cotton Overall Set",20.13,"Silk, Polyester","https://m.media-amazon.com/images/I/81UZN3BxaNL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Black"", ""Pink"", ""Red"", ""Brown""]",100
"The Children's Place","The Children's Place Baby Boys Pull On Jogger Shorts",35.66,"Denim, Silk","https://m.media-amazon.com/images/I/91UmNdmuZpL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue""]",100
"Aablexema","Aablexema Baby Footie Pajama with Mitten Cuffs, Double Zipper Infant Cotton clothes Sleeper Pjs, Footed Sleep Play",35.98,"Linen, Synthetic","https://m.media-amazon.com/images/I/61bq9ympXWL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Pink"", ""Beige"", ""Blue"", ""White""]",100
"The Children's Place","The Children's Place Boys Baby and Toddler Pull on Straight Jeans",14.97,"Silk, Leather","https://m.media-amazon.com/images/I/91iyGaWZNbL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""White""]",100
"MA&BABY","Infant Boys Girls Clothes Set Newborn Baby Romper Hat Ribbed Knit Long Sleeve Button Solid Bodysuit Jumpsuit",14.98,"Leather, Linen","https://m.media-amazon.com/images/I/71+UbuamGHL._AC_UL320_.jpg","Clothing","Baby","Boy","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Black""]",100
